Society,event_name,Food available,Alcohol available
SydneyUniversityBusinessSociety,SUBS x The Royal presents: Weekly Beers and Buddies,0,1
SydneyUniversityBusinessSociety,Uber Launch Challenge - University of Sydney,0,0
SydneyUniversityBusinessSociety,SUBS Weekly Meetups,1,1
SydneyUniversityBusinessSociety,Google On-Campus!,1,0
SydneyUniversityBusinessSociety,SUBS Presents: Subcommittee Applications!,0,0
SydneyUniversityBusinessSociety,SUBS x spoonfeedme: free donuts,0,0
SydneyUniversityBusinessSociety,The Sydney University Business Society presents: SUBSchella,1,1
SydneyUniversityBusinessSociety,Microsoft Protégé Workshop,1,0
SydneyUniversityBusinessSociety,SUBS presents First Year Camp: Aussie Adventures,1,1
SydneyUniversityBusinessSociety,SUBS x EY: Campus Takeover,0,0
SydneyUniversityBusinessSociety,General Meeting 2,0,0
SydneyUniversityBusinessSociety,Sydney Business School Societies: High Achievers' Breakfast,0,0
SydneyUniversityBusinessSociety,Mixed Interfaculty Touch Footy,0,0
SydneyUniversityBusinessSociety,Sydney University Business Society x Luna Park present: Neverland (2016 SUBS Ball),0,1
SydneyUniversityBusinessSociety,Men's Interfaculty Basketball,0,0
SydneyUniversityBusinessSociety,SUBS Pop Up Store: 2017 Official Sydney University Business Merchandise,0,0
SydneyUniversityBusinessSociety,SUBS x Business Alumni Network: Speed Mentoring,0,0
SydneyUniversityBusinessSociety,SUBS presents: Aspen Escape (Back to Semester Party),0,0
SydneyUniversityBusinessSociety,SUBS x AIM Presents: Entrepreneurship Careers Cocktail Night,0,1
SydneyUniversityBusinessSociety,SUBS AGM 2016,0,0
SydneyUniversityBusinessSociety,EY SUBS Case Competition,0,0
SydneyUniversityBusinessSociety,SUBS Presents: Career's Guide Launch,0,0
SydneyUniversityBusinessSociety,SUBS GM No.4,0,0
SydneyUniversityBusinessSociety,SUBS x Midori Presents: Daddy's Yacht Party,1,0
SydneyUniversityBusinessSociety,PhotoSoc and SUBS present: LinkedIn Photoshoot,0,0
SydneyUniversityBusinessSociety,SUBS Presents: SUBS Merchandise,0,0
SydneyUniversityBusinessSociety,Behind the Doors of Google: Innovative and Creative Workplaces with Michael Stocks,0,0
SydneyUniversityBusinessSociety,Business Societies Summer Internships & Careers Fair 2016,0,0
SydneyUniversityBusinessSociety,Business in China Seminar,0,0
SydneyUniversityBusinessSociety,USYD Inter-Faculty Pubcrawl,1,1
SydneyUniversityBusinessSociety,SUBS x spoonfeedme: FREE DONUTS,0,0
SydneyUniversityBusinessSociety,SUBS GM No.3,0,0
SydneyUniversityBusinessSociety,Microsoft Workshop: Protege Competition,0,0
SydneyUniversityBusinessSociety,SUBS x Sydney Motorsports Case Comp,0,0
SydneyUniversityBusinessSociety,SUBS PRESENTS: SUBS Weekly Meet Ups (12pm-3pm),1,1
SydneyUniversityBusinessSociety,SUBS PRESENTS: SUBS Weekly Meet Ups,1,1
SydneyUniversityBusinessSociety,SUBS Presents: FIRST YEAR CAMP *SOLD OUT*,0,0
SydneyUniversityBusinessSociety,Free BBQ with EY,0,0
SydneyUniversityBusinessSociety,SUBS Attends: USYD Oweek 2016!,0,0
SydneyUniversityBusinessSociety,SUBS Presents: $1 Mr Whippy Day!,0,0
SydneyUniversityBusinessSociety,SUBS BEERS + 5KM RUN,0,1
SydneyUniversityBusinessSociety,CA Career Snapshot,1,0
SydneyUniversityBusinessSociety,SUBS GM No.2,0,0
SydneyUniversityBusinessSociety,SUBS presents Met by Moonlight: Business Ball 2015,0,1
SydneyUniversityBusinessSociety,SUBS Interfaculty Touch Football,0,0
SydneyUniversityBusinessSociety,SUBS GM No.1,0,0
SydneyUniversityBusinessSociety,The Sydney University Business School Societies Present: The High Achievers Breakfast,0,0
SydneyUniversityBusinessSociety,Interfaculty Basketball (Female),0,0
SydneyUniversityBusinessSociety,2015 Deloitte Development Program,0,0
SydneyUniversityBusinessSociety,SUBS Interfaculty Rock Climbing and Badminton,0,0
SydneyUniversityBusinessSociety,SUBS Interfaculty Volleyball,0,0
SydneyUniversityBusinessSociety,SUBS Annual General Meeting,0,0
SydneyUniversityBusinessSociety,SUBS Presents: Back to Semester Party,0,1
SydneyUniversityBusinessSociety,SUBS x FMAA Presents: Accenture BBQ,0,0
SydneyUniversityBusinessSociety,SUBS General Meeting 2015,0,0
SydneyUniversityBusinessSociety,SUBS Presents: Cruise 2015 || #ThrowbackThursday,1,1
SydneyUniversityBusinessSociety,SUBS Internships Careers Fair,0,0
SydneyUniversityBusinessSociety,SUBS Presents: Deloitte Graduate Workshop,0,0
SydneyUniversityLawSociety,SULS O-Week Party,0,1
SydneyUniversityLawSociety,SULS Semester 2 Informal: CARGO BAR,0,0
SydneyUniversityLawSociety,SULS Study Space + Equi-Tea Station,0,0
SydneyUniversityLawSociety,Competitions Dinner 2017,0,0
SydneyUniversityLawSociety,SULS Annual General Meeting for 2017,0,0
SydneyUniversityLawSociety,Law in Society Buffering Launch + Panel,1,0
SydneyUniversityLawSociety,Herbert Smith Freehills Contract Law Moot Grand Final,1,0
SydneyUniversityLawSociety,International Dinner - Dumplings Galore,1,1
SydneyUniversityLawSociety,Yemaya Launch,1,0
SydneyUniversityLawSociety,SULS Careers: Little Steps - Building Skills and Relationships,0,0
SydneyUniversityLawSociety,Criminal Law Moot Grand Final 2017,0,0
SydneyUniversityLawSociety,SULS Presents: PLT Day,0,0
SydneyUniversityLawSociety,People of Colour in the Legal Profession,0,0
SydneyUniversityLawSociety,All the Light Touches: Grappling with the Legal Landscape,0,0
SydneyUniversityLawSociety,SULS Social Justice Conference 2017: Beyond the Buzzword,1,0
SydneyUniversityLawSociety,First Year Moot Grand Final,0,0
SydneyUniversityLawSociety,SULS Week 11 Interfaculty Sport - 5 km Run,0,1
SydneyUniversityLawSociety,SULS Final Year Dinner 2017,0,1
SydneyUniversityLawSociety,King & Wood Mallesons Witness Examination Grand Final,0,0
SydneyUniversityLawSociety,Australia’s Refugees and Asylum Seekers,1,0
SydneyUniversityLawSociety,Nicholas Cowdery Criminal Law Moot 2017,0,0
SydneyUniversityLawSociety,UNSW Law v USYD Law Sports Day,0,0
SydneyUniversityLawSociety,SULS Fitness Club goes Running - Week 10,0,0
SydneyUniversityLawSociety,Dissent Launch and Panel Discussion,0,0
SydneyUniversityLawSociety,SULS Week 10 Interfaculty Sport - Touch Football,0,0
SydneyUniversityLawSociety,SULS Presents: Rainbow Moot,1,1
SydneyUniversityLawSociety,WEEK 10 & 11 - Social Justice & Public Interest Lunchtime Series,1,0
SydneyUniversityLawSociety,International & Exchange Students Morning Tea,0,0
SydneyUniversityLawSociety,SULS x Allens Linklaters Presents Law Ball 2017: Cirque,1,1
