Society,Facebook_Link,Facebook_ID,Category,Likes
Madrigal Society,https://www.facebook.com/Sydney-University-Madrigal-Society-15622506407/,Sydney-University-Madrigal-Society-15622506407/,Arts,0
Mandarin Bible Study,https://www.facebook.com/groups/120553061365691/,groups/120553061365691/,Faith-Religion,0
Motorcycle Club,http://https://www.facebook.com/groups/SUMotoSoc/,groups/SUMotoSoc/,Sports-Recreation,0
Muslim Students' Association,NONE,NONE,Faith-Religion,0
Metal Society,https://www.facebook.com/University-of-Sydney-Metal-Society-1620437378169639/?fref=ts,University-of-Sydney-Metal-Society-1620437378169639/?fref=ts,Just-for-fun,0
Mathematics Society,https://www.facebook.com/groups/usydmaths/,groups/usydmaths/,Course-Related,0
MUGS: Mechanical Undergraduates Society,http://www.facebook.com/groups/255139001231882/,groups/255139001231882/,Course-Related,0
Medical Science Society,https://www.facebook.com/groups/1772060863022811/,groups/1772060863022811/,Course-Related,0
Media & Communications Society,https://www.facebook.com/SydneyUniMecoSoc,SydneyUniMecoSoc,Course-Related,0
North American Veterinary Students Association,https://www.facebook.com/groups/535170196655720/,groups/535170196655720/,Course-Related,0
Oxfam Sydney University,http://www.facebook.com/#!/groups/2425286849/,/groups/2425286849/,Humanitarian-Community-Aid,0
Pen Society,http://https://www.facebook.com/usydpensoc?fref=ts,usydpensoc?fref=ts,Just-for-fun,0
Pokemon League,https://www.facebook.com/groups/USYDPokemonLeague/,groups/USYDPokemonLeague/,Just-for-fun,0
Psychology Society,https://www.facebook.com/groups/63258793899/,groups/63258793899/,Course-Related,0
Pharmacy Association,http://www.facebook.com/supapharmacy,supapharmacy,Course-Related,0
Queer Revue Society,www.facebook.com/pages/Sydney-University-Queer-Revue/669505539793347,pages/Sydney-University-Queer-Revue/669505539793347,Revues,0
Red Cross Society,https://www.facebook.com/groups/SURCS/,groups/SURCS/,Humanitarian-Community-Aid,0
Russellian Society,http://www.facebook.com/groups/RussellianSociety/,groups/RussellianSociety/,Course-Related,0
Students for Liberty,http://https://www.facebook.com/UsydLibertarianSociety/?fref=ts,UsydLibertarianSociety/?fref=ts,Political,0
Social Basketball Club,https://www.facebook.com/groups/usydsbc/,groups/usydsbc/,Sports-Recreation,0
Surf Lifesaving,https://www.facebook.com/Sydney-University-Surf-Lifesaving-Society-164882177422289/,Sydney-University-Surf-Lifesaving-Society-164882177422289/,Sports-Recreation,0
Sydney Social Football Society,https://www.facebook.com/pages/USYD-Social-Soccer-Society/401296616632540,pages/USYD-Social-Soccer-Society/401296616632540,Sports-Recreation,0
Sydney University Car Club,https://www.facebook.com/groups/sydneyunicarclub/,groups/sydneyunicarclub/,Sports-Recreation,0
SUTEKH-Sydney University Pop Culture and Games Society,https://www.facebook.com/groups/SUTEKH,groups/SUTEKH,Just-for-fun,0
Soulxpress,https://www.facebook.com/soulxpressUSYD/?ref=bookmarks,soulxpressUSYD/?ref=bookmarks,Arts,0
SURCAS,http://www.facebook.com/#!/groups/166478596739315/,/groups/166478596739315/,Arts,0
SU Anime,https://www.facebook.com/groups/suanime/,groups/suanime/,Just-for-fun,0
Society for Creative Anachronism [SCA Medieval Society],https://www.facebook.com/groups/354818967935962/,groups/354818967935962/,Just-for-fun,0
Spanish & Latin American Society,https://www.facebook.com/usyd.spanish.latin?ref=ts&fref=ts,usyd.spanish.latin?ref=ts&fref=ts,Ethno-Cultural,0
Singapore Medical Society,http://https://www.facebook.com/usydsgmed/,usydsgmed/,Course-Related,0
SparkSoc,http://https://www.facebook.com/SparkSoc-Sydney-University-Electrical-Engineering-Society-244083638959749/,SparkSoc-Sydney-University-Electrical-Engineering-Society-244083638959749/,Course-Related,0
South East Asian Law Society,https://www.facebook.com/South-East-Asian-Law-Society-SEALS-351171858326818/timeline/,South-East-Asian-Law-Society-SEALS-351171858326818/timeline/,Course-Related,0
Tea Society,http://www.facebook.com/groups/56454197333/,groups/56454197333/,Food-Beverage,0
The University of Sydney Go Society,www.facebook.com/groups/usyd.gosoc/,groups/usyd.gosoc/,Just-for-fun,0
